time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2004-10-28T01:19:47.030Z,35.8586667,-120.4038333,4.825,1.58,md,25,55,0.02252,0.04,nc,nc21415042,2017-01-09T05:44:16.396Z,"5 km SSE of Parkfield, California",earthquake,0.25,0.43,0.12,17,automatic,nc,nc
2004-10-28T00:23:01.010Z,35.942,-120.4851667,10.725,1.55,md,20,65,0.01802,0.04,nc,nc21415020,2017-01-09T05:44:06.769Z,"6 km NW of Parkfield, California",earthquake,0.3,0.45,0.08,13,automatic,nc,nc
2004-10-27T22:12:28.630Z,35.8555,-120.4,4.945,1.14,md,12,91,0.01892,0.02,nc,nc21414998,2017-01-09T05:43:43.606Z,"5 km SSE of Parkfield, California",earthquake,0.35,0.65,0.15,5,automatic,nc,nc
2004-10-27T22:04:14.620Z,35.9375,-120.487,5.5,1.06,md,16,108,0.02072,0.04,nc,nc21414995,2017-01-09T05:43:37.148Z,"6 km NW of Parkfield, California",earthquake,0.31,0.51,0.14,2,reviewed,nc,nc
2004-10-27T21:48:57.540Z,35.9281667,-120.4705,8.554,1.67,md,43,58,0.02252,0.05,nc,nc21414990,2017-01-09T05:43:25.960Z,"4 km NW of Parkfield, California",earthquake,0.22,0.26,0.14,23,reviewed,nc,nc
2004-10-27T18:49:39.700Z,35.8416667,-120.391,10.465,0.74,md,9,98,0.03964,0.02,nc,nc21414940,2017-01-09T05:42:54.206Z,"7 km SSE of Parkfield, California",earthquake,0.52,1.87,0.05,2,automatic,nc,nc
2004-10-27T16:34:28.290Z,35.9645,-120.5165,4.737,0.54,md,9,104,0.01532,0.03,nc,nc21414911,2017-01-09T05:42:24.330Z,"10 km NW of Parkfield, California",earthquake,0.55,1.05,0.1,3,automatic,nc,nc
2004-10-27T16:32:05.490Z,35.9346667,-120.4823333,5.764,0.25,md,6,169,0.02432,0.01,nc,nc21414910,2017-01-09T05:42:20.861Z,"5 km NW of Parkfield, California",earthquake,0.93,1.66,,1,automatic,nc,nc
2004-10-27T13:41:23.670Z,35.9616667,-120.5156667,4.197,0.62,md,16,98,0.01712,0.04,nc,nc30230520,2017-01-09T05:41:58.305Z,"10 km NW of Parkfield, California",earthquake,0.27,0.49,0.2,3,reviewed,nc,nc
2004-10-27T13:27:15.570Z,35.922,-120.4693333,6.556,0.65,md,9,128,0.03514,0.04,nc,nc21414876,2017-01-09T05:41:48.062Z,"4 km NW of Parkfield, California",earthquake,0.69,1.81,0.1,2,automatic,nc,nc
2004-10-27T12:47:05.280Z,35.9213333,-120.4708333,5.726,0.54,md,8,210,0.03694,0.03,nc,nc21414870,2017-01-09T05:41:44.929Z,"4 km NW of Parkfield, California",earthquake,0.9,1.89,,1,automatic,nc,nc
2004-10-27T09:59:19.130Z,35.9323333,-120.4851667,5.489,0.4,md,9,100,0.02432,0.03,nc,nc21414851,2017-01-09T05:41:19.322Z,"5 km NW of Parkfield, California",earthquake,0.61,1.35,0.15,2,automatic,nc,nc
2004-10-27T09:45:48.490Z,35.9466667,-120.5068333,15.115,0.85,md,8,107,0.03333,0.02,nc,nc21414849,2017-01-09T05:41:15.729Z,"8 km NW of Parkfield, California",earthquake,1.22,4.46,0.03,2,automatic,nc,nc
2004-10-27T07:45:17.290Z,35.8356667,-120.3826667,5.149,0.78,md,9,119,0.01261,0.01,nc,nc21414833,2017-01-09T05:40:45.783Z,"8 km SSE of Parkfield, California",earthquake,0.51,0.59,0.06,6,automatic,nc,nc
2004-10-26T22:20:15.750Z,35.8558333,-120.4058333,8.777,1.62,md,22,62,0.02072,0.03,nc,nc21414729,2017-01-09T05:39:17.846Z,"5 km SSE of Parkfield, California",earthquake,0.28,0.48,0.09,16,automatic,nc,nc
2004-10-26T19:50:31.970Z,35.9311667,-120.4765,5.86,0.75,md,9,109,0.02973,0.02,nc,nc21414697,2017-01-09T05:38:44.642Z,"5 km NW of Parkfield, California",earthquake,0.51,1.31,0.21,3,automatic,nc,nc
2004-10-26T13:06:36.130Z,35.7726667,-120.3106667,3.965,2.23,md,31,61,0.01982,0.06,nc,nc21414635,2017-01-09T05:37:24.450Z,"14 km NNE of Shandon, California",earthquake,0.25,0.32,0.11,25,automatic,nc,nc
2004-10-26T09:19:57.210Z,35.9653333,-120.516,10.844,0.81,md,6,186,0.02973,0.01,nc,nc21414597,2017-01-09T05:36:51.661Z,"10 km NW of Parkfield, California",earthquake,1.4,0.91,,1,automatic,nc,nc
2004-10-26T07:16:14.500Z,35.9501667,-120.5065,5.117,1.01,md,11,65,0.009009,0.05,nc,nc21414563,2017-01-09T05:36:34.397Z,"8 km NW of Parkfield, California",earthquake,0.45,0.95,0.06,4,automatic,nc,nc
2004-10-26T05:23:58.030Z,35.852,-120.395,6.225,1,md,11,132,0.01622,0.02,nc,nc21414539,2017-01-09T05:36:24.627Z,"6 km SSE of Parkfield, California",earthquake,0.45,0.91,0.08,6,automatic,nc,nc
2004-10-26T02:45:39.760Z,35.8898333,-120.447,9.321,1.08,md,19,88,0.03514,0.08,nc,nc21414483,2017-01-09T05:35:49.970Z,"1 km SW of Parkfield, California",earthquake,0.45,0.72,0.21,9,automatic,nc,nc
2004-10-26T02:42:23.040Z,35.8636667,-120.408,4.835,1.32,md,16,78,0.01892,0.03,nc,nc21414482,2017-01-09T05:35:46.335Z,"4 km SSE of Parkfield, California",earthquake,0.33,0.61,0.14,7,automatic,nc,nc
2004-10-25T16:20:28.540Z,35.9715,-120.5316667,4.099,1.08,md,10,81,0.01622,0.04,nc,nc21414346,2017-01-09T05:33:51.150Z,"11 km NW of Parkfield, California",earthquake,0.41,1.07,0.02,3,automatic,nc,nc
2004-10-25T15:18:41.720Z,35.9345,-120.4946667,4.549,1,md,12,171,0.01712,0.08,nc,nc21414331,2017-01-09T05:33:37.195Z,"6 km NW of Parkfield, California",earthquake,0.56,0.64,0.21,4,automatic,nc,nc
2004-10-25T14:59:25.540Z,35.9728333,-120.5238333,3.062,0.55,md,9,130,0.01081,0.03,nc,nc30500994,2017-01-09T05:33:33.791Z,"11 km NW of Parkfield, California",earthquake,0.38,0.85,0.2,3,automatic,nc,nc
2004-10-25T14:59:09.720Z,35.9703333,-120.5236667,2.697,1.07,md,10,74,0.01261,0.04,nc,nc21414329,2017-01-09T05:33:30.484Z,"11 km NW of Parkfield, California",earthquake,0.32,0.81,0.02,3,automatic,nc,nc
2004-10-25T14:31:31.430Z,35.9216667,-120.4623333,7.239,0.26,md,7,140,0.03063,0.03,nc,nc21414323,2017-01-09T05:33:23.814Z,"3 km NW of Parkfield, California",earthquake,0.85,2.26,,1,automatic,nc,nc
2004-10-25T12:26:38.710Z,35.9291667,-120.4773333,4.886,1.12,md,11,107,0.03063,0.04,nc,nc21414299,2017-01-09T05:33:17.416Z,"5 km NW of Parkfield, California",earthquake,0.4,0.99,0.19,3,automatic,nc,nc
2004-10-25T11:13:49.350Z,35.891,-120.4371667,10.04,1.81,md,28,91,0.03063,0.06,nc,nc21414285,2017-01-09T05:33:10.760Z,"1 km SSW of Parkfield, California",earthquake,0.3,0.49,0.12,18,automatic,nc,nc
2004-10-25T11:03:13.670Z,35.9475,-120.503,4.826,1.38,md,15,66,0.01081,0.04,nc,nc21414283,2017-01-09T05:33:06.919Z,"8 km NW of Parkfield, California",earthquake,0.3,0.49,0.2,7,automatic,nc,nc
2004-10-25T10:49:07.300Z,35.9326667,-120.4806667,6.786,0.64,md,9,108,0.02703,0.03,nc,nc21414279,2017-01-09T05:33:03.700Z,"5 km NW of Parkfield, California",earthquake,0.57,1.54,0.1,2,automatic,nc,nc
2004-10-25T06:18:40.390Z,35.9238333,-120.4723333,5.72,0.75,md,10,121,0.03514,0.04,nc,nc21414221,2017-01-09T05:32:21.372Z,"4 km NW of Parkfield, California",earthquake,0.61,1.48,0.21,3,automatic,nc,nc
2004-10-25T01:56:21.260Z,35.9643333,-120.5176667,4.568,0.4,md,8,99,0.01622,0.02,nc,nc21414175,2017-01-09T05:31:36.975Z,"10 km NW of Parkfield, California",earthquake,0.49,1.12,0.15,2,automatic,nc,nc
2004-10-25T01:05:06.380Z,35.9163333,-120.4586667,10.041,0.42,md,10,155,0.03153,0.08,nc,nc21414159,2017-01-09T05:31:13.832Z,"2 km NW of Parkfield, California",earthquake,1.1,1.75,0.15,2,automatic,nc,nc
2004-10-24T18:40:48.920Z,35.8945,-120.4385,12.301,1.24,md,10,210,0.04324,0.04,nc,nc21414056,2017-01-09T05:30:02.439Z,"0 km SW of Parkfield, California",earthquake,1.27,2.89,0.54,5,automatic,nc,nc
2004-10-24T18:05:39.230Z,35.961,-120.5145,4.768,2.25,md,37,61,0.01351,0.05,nc,nc21414050,2017-01-09T05:29:50.300Z,"10 km NW of Parkfield, California",earthquake,0.18,0.16,0.15,28,automatic,nc,nc
2004-10-24T11:28:07.460Z,35.8848333,-120.4245,6.89,0.78,md,10,104,0.01892,0.04,nc,nc21413976,2017-01-09T05:28:27.583Z,"1 km SSE of Parkfield, California",earthquake,0.81,1.91,0.18,5,automatic,nc,nc
2004-10-24T11:25:23.200Z,35.924,-120.471,6.05,0.75,md,10,123,0.03604,0.04,nc,nc21413974,2017-01-09T05:28:24.389Z,"4 km NW of Parkfield, California",earthquake,0.51,1.54,0.21,3,automatic,nc,nc
2004-10-24T10:10:47.730Z,35.9238333,-120.4701667,5.786,0.65,md,9,124,0.03514,0.04,nc,nc21413962,2017-01-09T05:28:04.927Z,"4 km NW of Parkfield, California",earthquake,0.53,1.6,0.11,2,automatic,nc,nc
2004-10-24T09:32:37.520Z,35.8585,-120.3981667,4.079,1.08,md,5,188,0.02252,0,nc,nc21413956,2017-01-09T05:27:58.306Z,"5 km SE of Parkfield, California",earthquake,0.82,1.39,0.31,3,automatic,nc,nc
2004-10-24T09:25:56.980Z,35.8843333,-120.4265,3.872,1.18,md,8,100,0.02072,0.03,nc,nc21413954,2017-01-09T05:27:54.925Z,"1 km SSE of Parkfield, California",earthquake,0.62,1.37,0.39,3,automatic,nc,nc
2004-10-24T06:10:19.210Z,35.8901667,-120.4293333,5.217,0.66,md,7,111,0.02432,0.05,nc,nc21413916,2017-01-09T05:27:31.949Z,"1 km SSE of Parkfield, California",earthquake,1.15,2.22,0.01,3,automatic,nc,nc
2004-10-24T04:50:04.610Z,35.8443333,-120.3951667,4.855,0.78,md,8,118,0.009009,0.01,nc,nc21413890,2017-01-09T05:27:24.937Z,"7 km SSE of Parkfield, California",earthquake,0.56,1.12,0.06,4,automatic,nc,nc
2004-10-24T03:41:16.210Z,35.9266667,-120.4726667,9.264,2.84,md,64,43,0.01982,0.06,nc,nc21413873,2017-01-09T05:27:14.490Z,"4 km NW of Parkfield, California",earthquake,0.15,0.21,0.09,78,reviewed,nc,nc
2004-10-24T02:01:25.510Z,35.9248333,-120.4698333,5.307,1.02,md,13,98,0.03423,0.05,nc,nc21413862,2017-01-09T05:26:48.198Z,"4 km NW of Parkfield, California",earthquake,0.37,0.95,0.05,7,automatic,nc,nc
2004-10-24T01:11:26.490Z,35.9186667,-120.465,9.76,1.3,md,18,85,0.03423,0.07,nc,nc21413854,2017-01-09T05:26:38.270Z,"3 km NW of Parkfield, California",earthquake,0.44,0.81,0.21,9,automatic,nc,nc
2004-10-23T20:00:19.420Z,35.9253333,-120.4708333,5.357,0.75,md,12,121,0.03514,0.05,nc,nc21413731,2017-01-09T05:25:29.985Z,"4 km NW of Parkfield, California",earthquake,0.4,1,0.08,5,automatic,nc,nc
2004-10-23T19:00:42.230Z,35.9365,-120.4865,6.279,0.61,md,8,107,0.02162,0.03,nc,nc21413720,2017-01-09T05:25:19.321Z,"6 km NW of Parkfield, California",earthquake,0.54,1.87,0.09,2,automatic,nc,nc
